iter	RMSE
0	865558.401
1	832695.2078
2	802826.6208
3	772286.1189
4	746410.5889
5	720055.7915
6	696069.6253
7	674428.126
8	653347.5518
9	633123.7303
10	613931.4006
11	595517.2922
12	578468.5886
13	561113.3632
14	545523.8175
15	530656.7005
16	517104.4638
17	503876.6949
18	491391.7011
19	479806.5259
20	469551.4502
21	459287.786
22	449669.846
23	446249.2908
24	438449.559
25	429658.266
26	426912.7787
27	424790.2147
28	422748.8467
29	420325.755
30	418388.3138
31	416180.1923
32	407802.1945
33	405976.1883
34	404191.2531
35	402451.195
36	400798.4988
37	399166.7805
38	391875.6557
39	385460.4357
40	383967.5472
41	382481.0951
42	377589.5081
43	376159.8368
44	374787.6261
45	373479.35
46	372198.1295
47	370955.8615
48	364864.7725
49	363689.22
50	357714.4583
51	356443.2598
52	355355.3308
53	351188.7094
54	350162.8838
55	345584.2768
56	344600.304
57	339977.3044
58	339041.3088
59	335984.439
60	335099.3357
61	334221.9662
62	329523.4014
63	328706.0113
64	324427.1499
65	323657.2547
66	322466.3398
67	321669.6423
68	317461.081
69	313561.0673
70	309952.157
71	309261.0131
72	308475.8906
73	307844.7471
74	304396.6227
75	303448.9091
76	299891.4625
77	298815.1396
78	295894.5679
79	295375.6933
80	292087.8719
81	289855.7974
82	289292.5176
83	288798.2607
84	288133.4282
85	285549.6148
86	285108.3693
87	282092.0145
88	279509.2454
89	278980.8491
90	278582.8096
91	276586.5536
92	276168.5371
93	274036.7559
94	271927.8296
95	270975.1387
96	270361.6624
97	270049.9945
98	269437.3722
99	268970.8094
100	266991.6309
101	266600.0214
102	266319.7254
103	264730.1624
104	262903.5989
105	261444.2566
106	259916.5513
107	259375.4255
108	258922.9232
109	258649.2351
110	256813.873
111	255587.4499
112	254414.822
113	253822.274
114	252612.6002
115	250936.38
116	250717.2561
117	249503.082
118	249273.6698
119	248933.3134
120	247472.9016
121	245849.9532
122	245024.2763
123	243992.5625
124	243464.5321
125	242582.0384
126	241779.9353
127	240918.6808
128	240680.6929
129	240492.2621
130	239680.6776
131	238978.5481
132	238773.9849
133	238560.4327
134	237537.5099
135	237283.402
136	235891.8177
137	235592.0214
138	235363.246
139	234274.4271
140	234113.7446
141	233935.026
142	233537.6853
143	232916.5805
144	232810.9645
145	232327.9472
146	232126.45
147	231377.4455
148	231049.2216
149	230571.5539
150	229989.7413
151	229486.8735
152	229192.661
153	228221.8802
154	228153.5299
155	227415.3873
156	226622.0764
157	225677.5618
158	225576.0749
159	224882.1443
160	224490.4782
161	223756.8615
162	222954.4244
163	222874.989
164	222734.9152
165	222021.3626
166	221627.1928
167	220981.1981
168	220232.4792
169	219618.331
170	218922.1133
171	218546.3924
172	218215.3152
173	217379.4007
174	216721.5871
175	216312.993
176	215632.5146
177	215138.1857
178	214528.6171
179	213985.2671
180	213282.2119
181	212809.4674
182	212251.6345
183	211699.231
184	211164.6547
185	210699.6167
186	210259.1318
187	209933.9982
188	209565.0791
189	209512.6979
190	209132.6627
191	208629.6002
192	207925.5725
193	207298.479
194	207227.1967
195	206852.5802
196	206337.7359
197	205798.8621
198	205571.3657
199	204785.0484
200	203601.84
201	203143.5194
202	203077.2829
203	202747.9613
204	202283.8914
205	201937.1067
206	201359.7698
207	200888.4191
208	200002.4616
209	199550.4666
210	199123.3877
211	198485.1267
212	198046.7802
213	197568.5147
214	196862.3251
215	196416.5512
216	195993.7021
217	195314.8822
218	194813.1263
219	194483.8393
220	193936.8114
221	193056.8095
222	192748.3327
223	192475.1385
224	191875.7266
225	191530.7559
226	191274.0198
227	191006.8784
228	190596.5921
229	190096.5275
230	189925.9454
231	189695.4749
232	189304.8307
233	188872.3877
234	188429.5044
235	188174.4215
236	187845.6249
237	187636.4605
238	187349.7064
239	186982.0344
240	186639.4853
241	186433.3279
242	186385.4498
243	185620.8423
244	185035.4451
245	184692.8928
246	184462.6852
247	184244.9142
248	183835.8172
249	183639.4666
250	183225.9992
251	182903.2641
252	182691.4978
253	182388.3107
254	182336.9317
255	182043.3566
256	181994.2714
257	181326.9
258	181286.7802
259	181240.5452
260	181070.8959
261	180545.9283
262	180502.557
263	180349.779
264	180291.2715
265	179705.4365
266	179666.2924
267	179142.2835
268	178913.4867
269	178596.0109
270	178317.5354
271	178263.6368
272	177771.8705
273	177511.5723
274	177460.2403
275	177260.9228
276	176724.811
277	176692.8278
278	176644.8438
279	176184.6357
280	175896.5866
281	175866.8518
282	175652.8381
283	175322.3504
284	175289.6565
285	175258.0564
286	175104.8028
287	174815.0058
288	174772.3953
289	174743.0868
290	174249.8684
291	173992.6671
292	173726.8558
293	173464.9434
294	173264.9911
295	173002.7401
296	172626.2446
297	172598.3538
298	172161.8301
299	172048.7559
300	172011.0697
301	171711.7423
302	171280.3551
303	171074.0919
304	170875.1592
305	170849.0009
306	170726.0827
307	170690.8281
308	170532.2097
309	170287.8249
310	170155.1271
311	170131.3259
312	169478.7212
313	169455.4256
314	169303.9486
315	169044.8835
316	169022.4891
317	168878.9397
318	168699.3897
319	168552.432
320	168305.292
321	168151.4039
322	168121.3375
323	167976.8803
324	167637.9526
325	167617.3612
326	167589.6112
327	167377.2336
328	167019.8057
329	166821.6533
330	166576.2852
331	166557.2584
332	166101.9913
333	166076.2822
334	165904.517
335	165879.9096
336	165747.6781
337	165387.82
338	165193.8139
339	165057.2386
340	164866.0539
341	164674.9703
342	164416.5559
343	164187.9593
344	163834.3644
345	163739.9469
346	163569.4906
347	163450.9295
348	163280.9661
349	163179.1335
350	163080.2878
351	162787.4667
352	162563.8698
353	162151.5155
354	161991.5942
355	161770.8312
356	161674.6667
357	161345.3318
358	161140.7054
359	160913.9801
360	160771.2352
361	160537.8666
362	160387.9374
363	160294.5004
364	160159.463
365	160071.2631
366	159941.9233
367	159835.0858
368	159689.0074
369	159603.6653
370	159569.412
371	159444.1412
372	159429.5735
373	159228.197
374	158985.4405
375	158838.6338
376	158640.2432
377	158626.4968
378	158254.5612
379	158156.1553
380	158031.0718
381	157904.0264
382	157699.8427
383	157519.2047
384	157231.5839
385	157151.4073
386	156998.2905
387	156617.2494
388	156386.3252
389	156138.3886
390	155926.0643
391	155873.8039
392	155668.4267
393	155485.4813
394	155347.8999
395	155148.1524
396	155107.997
397	154938.6797
398	154710.16
399	154630.2547
400	154408.888
401	154263.2095
402	154150.7326
403	154088.0721
404	154013.4701
405	153876.1645
406	153705.2176
407	153571.9062
408	153526.5016
409	153351.4783
410	153297.5173
411	153142.6029
412	152973.1369
413	152882.7634
414	152795.0919
415	152637.3265
416	152452.8476
417	152341.8442
418	152298.495
419	152070.808
420	151965.3088
421	151869.4004
422	151748.0426
423	151475.7267
424	151361.0753
425	151163.4821
426	151095.6174
427	151076.1587
428	150860.1537
429	150762.3484
430	150629.4587
431	150580.6598
432	150369.6808
433	150128.5605
434	150042.4595
435	149980.0314
436	149915.3034
437	149863.9917
438	149669.7921
439	149458.4746
440	149160.8004
441	149077.652
442	148926.2718
443	148636.5392
444	148546.9466
445	148422.8306
446	148230.5297
447	148203.3691
448	148030.4339
449	147857.2706
450	147756.496
451	147659.2096
452	147469.0905
453	147288.2401
454	147170.2454
455	147013.7224
456	146879.4061
457	146821.1322
458	146679.4833
459	146583.0579
460	146450.2104
461	146365.8576
462	146222.9897
463	146110.1352
464	146048.8921
465	145922.2382
466	145855.3904
467	145726.3338
468	145665.2836
469	145439.0892
470	145383.4975
471	145301.0443
472	145249.3512
473	145009.1942
474	144863.6959
475	144723.6584
476	144626.2336
477	144472.8888
478	144337.6134
479	144107.3414
480	143975.8707
481	143811.5727
482	143797.4718
483	143700.3467
484	143687.0001
485	143599.1202
486	143545.1361
487	143363.5915
488	143238.6118
489	143185.3209
490	143173.0309
491	142941.4661
492	142929.4096
493	142772.4762
494	142625.4359
495	142523.6609
496	142348.4797
497	142234.8762
498	142100.9253
499	142001.8685
500	141842.6984
501	141744.7303
502	141733.5065
503	141607.2253
504	141510.3368
505	141367.8705
506	141247.5911
507	141131.372
508	141036.1416
509	140902.5397
510	140779.8868
511	140704.2222
512	140646.6778
513	140537.8025
514	140456.6023
515	140350.7807
516	140264.3804
517	140125.9438
518	140104.7468
519	140064.4647
520	139929.1684
521	139782.2268
522	139689.8856
523	139589.643
524	139556.6229
525	139536.2041
526	139487.8219
527	139401.4036
528	139335.9117
529	139198.8133
530	139124.1727
531	139078.2297
532	138994.6574
533	138884.3771
534	138875.024
535	138797.7229
536	138749.4525
537	138703.4051
538	138671.7331
539	138557.5093
540	138521.4543
541	138337.0796
542	138294.6249
543	138212.1405
544	138134.6913
545	138099.0778
546	138070.1028
547	137957.3546
548	137948.9058
549	137816.6701
550	137743.634
551	137666.4235
552	137620.6424
553	137558.616
554	137499.2015
555	137298.2345
556	137255.8706
557	137184.4023
558	137032.1021
559	136931.8006
560	136918.6704
561	136758.2466
562	136683.1942
563	136563.349
564	136479.4495
565	136336.3921
566	136282.1565
567	136163.0318
568	136085.3675
569	135939.977
570	135844.5426
571	135759.0004
572	135639.9138
573	135586.5244
574	135470.8111
575	135344.9654
576	135225.7244
577	135132.3586
578	135072.0334
579	134992.8168
580	134919.9255
581	134847.9097
582	134715.3841
583	134624.4379
584	134559.8564
585	134476.3125
586	134402.6818
587	134314.1861
588	134228.0373
589	134209.9023
590	134147.0193
591	134045.742
592	133961.962
593	133820.2457
594	133709.9402
595	133629.7388
596	133558.8574
597	133486.2513
598	133386.6081
599	133294.9077
600	133189.612
601	133166.7798
602	133083.4542
603	133065.4784
604	132970.7865
605	132869.0894
606	132790.6459
607	132757.2064
608	132669.3254
609	132653.0394
610	132585.6869
611	132445.6908
612	132391.4662
613	132304.4784
614	132216.8587
615	132094.2367
616	131884.3844
617	131749.1167
618	131689.841
619	131635.2325
620	131550.4381
621	131497.1828
622	131417.3393
623	131393.7153
624	131338.829
625	131276.6586
626	131158.6844
627	131138.4919
628	131031.0486
629	130976.4566
630	130908.9334
631	130710.0788
632	130689.8307
633	130635.7129
634	130592.834
635	130562.5159
636	130445.6216
637	130383.5045
638	130283.6474
639	130242.7586
640	130148.8743
641	130120.7343
642	130059.094
643	130000.6442
644	129903.3402
645	129821.1265
646	129801.8251
647	129718.6312
648	129701.1832
649	129633.3031
650	129554.3038
651	129456.4346
652	129431.1437
653	129405.4116
654	129225.3884
655	129171.1851
656	129060.4833
657	128988.1423
658	128940.5406
659	128893.6216
660	128807.0506
661	128721.1848
662	128649.8221
663	128610.7821
664	128559.7375
665	128523.062
666	128499.5455
667	128446.7421
668	128381.5266
669	128274.3371
670	128244.5837
671	128206.5309
672	128182.5805
673	128154.2381
674	128070.8041
675	128002.7983
676	127953.7084
677	127898.9615
678	127805.3045
679	127723.6026
680	127629.6068
681	127539.8467
682	127486.5095
683	127432.2465
684	127406.4459
685	127342.1237
686	127306.0802
687	127197.7032
688	127127.0573
689	127079.2147
690	127035.2603
691	126991.9691
692	126938.3811
693	126875.5474
694	126843.4216
695	126750.3052
696	126694.025
697	126532.443
698	126418.5139
699	126380.082
700	126227.6188
701	126199.1579
702	126147.1519
703	126091.8783
704	125993.8287
705	125961.5187
706	125814.9074
707	125738.3435
708	125712.9154
709	125664.927
710	125623.3924
711	125572.7015
712	125554.8074
713	125514.4917
714	125486.9591
715	125441.5742
716	125345.2975
717	125251.229
718	125215.3626
719	125143.1891
720	125014.7052
721	124983.8352
722	124946.8181
723	124910.3103
724	124872.7033
725	124843.6272
726	124738.3536
727	124696.5701
728	124603.2019
729	124522.9591
730	124463.5658
731	124416.7452
732	124381.4113
733	124327.5501
734	124260.9905
735	124220.8767
736	124155.4013
737	124061.6893
738	124019.3997
739	123969.1408
740	123931.975
741	123851.3439
742	123827.1858
743	123778.7647
744	123694.9394
745	123666.7841
746	123610.1736
747	123565.0508
748	123514.3935
749	123485.3734
750	123404.0114
751	123318.8216
752	123257.7092
753	123214.7077
754	123173.8029
755	123131.9939
756	123099.164
757	123049.7793
758	123023.3691
759	122982.9292
760	122954.0027
761	122908.6867
762	122878.4502
763	122843.3256
764	122752.2628
765	122716.3845
766	122695.6602
767	122662.0187
768	122609.3068
769	122567.2744
770	122454.5851
771	122422.4368
772	122391.3415
773	122348.7938
774	122282.5916
775	122214.2702
776	122161.0485
777	122071.4509
778	122037.587
779	121999.9302
780	121975.6816
781	121948.2033
782	121916.677
783	121842.9503
784	121790.061
785	121708.6549
786	121642.1783
787	121585.8156
788	121532.4851
789	121502.357
790	121437.06
791	121374.3222
792	121312.4367
793	121265.5424
794	121223.0179
795	121196.7885
796	121177.9469
797	121091.3466
798	121057.0715
799	121037.7677
800	121001.8564
801	120969.971
802	120930.1424
803	120892.5571
804	120811.6795
805	120790.4286
806	120713.351
807	120663.0603
808	120631.7954
809	120574.3632
810	120541.213
811	120499.2495
812	120475.7849
813	120443.0405
814	120407.1044
815	120337.7262
816	120310.7429
817	120259.7611
818	120226.8111
819	120166.9777
820	120092.0094
821	120027.5889
822	119992.0098
823	119969.0325
824	119890.9668
825	119840.3402
826	119782.9874
827	119745.409
828	119690.7182
829	119656.3482
830	119580.5497
831	119511.5056
832	119473.8893
833	119447.2983
834	119428.5158
835	119322.1109
836	119273.0118
837	119248.0737
838	119219.6109
839	119178.5665
840	119154.5855
841	119132.7341
842	119112.6679
843	119086.5507
844	119055.0586
845	118994.4369
846	118929.7706
847	118850.8779
848	118828.8098
849	118777.6072
850	118728.3467
851	118720.0986
852	118684.8833
853	118611.3703
854	118573.3699
855	118552.3437
856	118486.8071
857	118469.6883
858	118455.6176
859	118451.1256
860	118398.6119
861	118357.4524
862	118275.9324
863	118246.6614
864	118212.8767
865	118161.6137
866	118116.9037
867	118071.816
868	118026.7695
869	117967.5948
870	117940.5295
871	117897.2012
872	117863.8889
873	117826.5148
874	117743.1904
875	117711.4385
876	117659.9155
877	117635.7209
878	117605.383
879	117581.3237
880	117556.2004
881	117498.6374
882	117460.4642
883	117432.6345
884	117404.7638
885	117338.086
886	117333.4197
887	117294.4127
888	117271.3544
889	117227.3977
890	117157.7324
891	117122.8157
892	117108.8939
893	117052.8079
894	117008.9711
895	116931.5685
896	116857.3949
897	116829.1175
898	116817.4299
899	116784.1328
900	116735.7261
901	116705.3977
902	116634.3976
903	116580.2849
904	116545.5419
905	116525.4588
906	116505.1223
907	116442.0139
908	116385.2131
909	116326.8071
910	116288.1059
911	116231.0875
912	116177.3973
913	116133.2107
914	116100.9515
915	116068.3764
916	116031.1671
917	115975.0123
918	115940.4966
919	115886.9601
920	115858.6914
921	115824.8528
922	115798.0852
923	115777.0076
924	115717.7521
925	115657.9252
926	115604.1251
927	115562.0356
928	115531.1653
929	115460.9418
930	115395.3432
931	115337.9681
932	115320.806
933	115295.7763
934	115193.4683
935	115149.6526
936	115137.1858
937	115125.3236
938	115097.7166
939	115016.1466
940	114991.6138
941	114959.0039
942	114919.4061
943	114882.1965
944	114859.4786
945	114794.5149
946	114735.6316
947	114702.2742
948	114670.1635
949	114649.3163
950	114608.3967
951	114563.7778
952	114499.6429
953	114481.3007
954	114398.5121
955	114375.5655
956	114332.9575
957	114310.4634
958	114273.9626
959	114233.1595
960	114176.4008
961	114156.0333
962	114102.788
963	114083.297
964	114049.1712
965	114032.2617
966	114010.2184
967	113987.6365
968	113958.0735
969	113941.7069
970	113916.5173
971	113865.7752
972	113814.6682
973	113783.9239
974	113760.5783
975	113739.9556
976	113711.0945
977	113686.0605
978	113659.3634
979	113584.9776
980	113546.2737
981	113502.4624
982	113488.8917
983	113471.3096
984	113439.7683
985	113401.7928
986	113372.0373
987	113315.9226
988	113257.0559
989	113207.8431
990	113182.8734
991	113135.9354
992	113102.2147
993	113048.2039
994	113012.6242
995	112991.5946
996	112971.4261
997	112949.294
998	112873.9302
999	112829.772
