iter	Passed	Remaining
0	107	107634
1	110	55158
2	113	37598
3	115	28822
4	118	23671
5	122	20353
6	127	18070
7	131	16367
8	134	14836
9	137	13588
10	140	12635
11	143	11853
12	147	11181
13	150	10583
14	153	10049
15	155	9583
16	159	9239
17	162	8869
18	165	8531
19	167	8225
20	170	7945
21	174	7754
22	177	7545
23	180	7328
24	182	7128
25	186	6994
26	189	6834
27	192	6666
28	193	6492
29	196	6348
30	197	6184
31	200	6056
32	204	6004
33	207	5902
34	210	5803
35	212	5685
36	214	5573
37	216	5491
38	221	5452
39	224	5381
40	226	5307
41	229	5233
42	233	5200
43	236	5143
44	239	5079
45	242	5022
46	244	4966
47	247	4912
48	252	4891
49	255	4854
50	258	4806
51	261	4767
52	264	4720
53	266	4674
54	268	4619
55	274	4623
56	276	4580
57	279	4541
58	282	4502
59	285	4475
60	288	4447
61	291	4417
62	294	4382
63	297	4346
64	300	4324
65	303	4300
66	307	4284
67	311	4270
68	315	4254
69	319	4248
70	322	4222
71	324	4184
72	327	4156
73	329	4126
74	333	4116
75	337	4100
76	340	4081
77	343	4054
78	345	4028
79	348	4005
80	350	3981
81	353	3956
82	356	3934
83	358	3911
84	361	3888
85	364	3873
86	366	3850
87	369	3830
88	372	3812
89	375	3797
90	377	3774
91	381	3760
92	383	3741
93	386	3723
94	388	3703
95	391	3685
96	394	3677
97	398	3665
98	401	3649
99	403	3633
100	406	3618
101	409	3603
102	411	3586
103	414	3567
104	416	3547
105	418	3527
106	420	3509
107	423	3500
108	427	3495
109	431	3493
110	434	3480
111	437	3466
112	440	3453
113	443	3445
114	447	3442
115	452	3451
116	457	3452
117	461	3452
118	465	3443
119	468	3435
120	471	3426
121	475	3419
122	479	3418
123	482	3411
124	486	3406
125	490	3403
126	493	3393
127	496	3382
128	499	3371
129	502	3362
130	506	3357
131	509	3347
132	513	3344
133	517	3343
134	521	3343
135	525	3339
136	529	3335
137	532	3325
138	536	3321
139	539	3314
140	543	3309
141	546	3303
142	551	3306
143	556	3308
144	561	3309
145	566	3315
146	571	3317
147	575	3312
148	579	3307
149	584	3312
150	588	3307
151	591	3302
152	594	3293
153	599	3290
154	601	3281
155	604	3271
156	607	3263
157	610	3254
158	615	3254
159	619	3252
160	622	3244
161	625	3235
162	629	3234
163	633	3231
164	637	3227
165	640	3219
166	643	3212
167	647	3207
168	650	3199
169	653	3190
170	656	3183
171	659	3176
172	663	3171
173	667	3166
174	669	3157
175	672	3147
176	676	3146
177	680	3143
178	683	3136
179	686	3128
180	690	3124
181	694	3120
182	697	3112
183	699	3101
184	701	3091
185	704	3082
186	708	3079
187	712	3076
188	715	3068
189	717	3059
190	720	3052
191	725	3053
192	728	3046
193	731	3038
194	733	3029
195	736	3020
196	739	3015
197	742	3008
198	745	3000
199	748	2993
200	751	2987
201	756	2988
202	759	2981
203	762	2973
204	765	2967
205	768	2960
206	772	2957
207	775	2951
208	777	2943
209	781	2941
210	784	2934
211	788	2931
212	790	2922
213	793	2914
214	796	2908
215	800	2905
216	804	2903
217	807	2896
218	810	2889
219	813	2883
220	816	2878
221	820	2876
222	823	2870
223	828	2868
224	830	2861
225	834	2857
226	837	2850
227	839	2843
228	842	2836
229	845	2829
230	848	2824
231	851	2818
232	854	2812
233	857	2805
234	860	2801
235	863	2796
236	867	2794
237	870	2786
238	873	2779
239	876	2774
240	879	2768
241	882	2765
242	885	2758
243	888	2751
244	891	2746
245	893	2739
246	897	2735
247	900	2729
248	903	2724
249	906	2718
250	909	2712
251	912	2708
252	915	2702
253	918	2696
254	920	2690
255	923	2683
256	925	2675
257	928	2669
258	930	2662
259	934	2658
260	936	2652
261	939	2646
262	942	2640
263	945	2634
264	947	2628
265	951	2624
266	953	2618
267	956	2612
268	959	2607
269	962	2601
270	965	2598
271	969	2593
272	972	2588
273	975	2583
274	978	2578
275	980	2573
276	984	2569
277	987	2563
278	991	2561
279	994	2557
280	997	2551
281	1000	2547
282	1003	2541
283	1006	2538
284	1009	2533
285	1012	2527
286	1015	2523
287	1018	2518
288	1021	2512
289	1024	2507
290	1026	2501
291	1029	2497
292	1032	2491
293	1035	2487
294	1039	2483
295	1042	2478
296	1044	2473
297	1047	2468
298	1051	2464
299	1053	2458
