iter	Passed	Remaining
0	4	4403
1	8	4307
2	11	3980
3	15	3876
4	19	3929
5	26	4409
6	31	4457
7	36	4478
8	40	4436
9	46	4564
10	49	4478
11	53	4379
12	56	4300
13	61	4303
14	65	4271
15	71	4374
16	76	4442
17	80	4417
18	84	4380
19	88	4348
20	93	4374
21	98	4389
22	102	4364
23	106	4335
24	112	4394
25	117	4420
26	125	4518
27	131	4568
28	136	4557
29	142	4596
30	146	4573
31	148	4504
32	152	4474
33	156	4440
34	159	4401
35	163	4365
36	166	4339
37	169	4293
38	171	4238
39	175	4202
40	178	4167
41	181	4129
42	184	4102
43	187	4074
44	191	4068
45	196	4072
46	200	4062
47	202	4026
48	208	4041
49	212	4046
50	216	4032
51	218	3992
52	222	3972
53	225	3947
54	227	3916
55	230	3888
56	233	3859
57	236	3845
58	239	3821
59	241	3788
60	245	3779
61	249	3772
62	253	3772
63	257	3767
64	261	3757
65	265	3757
66	268	3735
67	270	3701
68	273	3684
69	276	3674
70	278	3646
71	280	3621
72	283	3596
73	286	3581
74	288	3561
75	291	3542
76	293	3514
77	295	3497
78	298	3485
79	302	3474
80	305	3466
81	309	3461
82	311	3446
83	314	3429
84	317	3418
85	320	3402
86	322	3388
87	325	3375
88	328	3359
89	331	3347
90	333	3334
91	336	3320
92	340	3318
93	343	3308
94	346	3299
95	349	3289
96	352	3280
97	356	3277
98	359	3270
99	361	3251
100	364	3242
101	368	3243
102	370	3229
103	374	3226
104	377	3218
105	380	3211
106	383	3202
107	387	3200
108	391	3197
109	394	3191
110	397	3185
111	400	3175
112	403	3164
113	405	3154
114	408	3142
115	410	3131
116	414	3125
117	417	3118
118	421	3117
119	424	3115
120	427	3107
121	431	3103
122	434	3098
123	437	3088
124	439	3079
125	442	3071
126	445	3060
127	447	3048
128	449	3037
129	452	3030
130	456	3026
131	458	3017
132	461	3009
133	464	3000
134	468	2998
135	471	2994
136	474	2988
137	478	2986
138	481	2984
139	485	2980
140	487	2972
141	490	2965
142	493	2957
143	496	2949
144	499	2942
145	502	2940
146	505	2933
147	508	2926
148	511	2918
149	514	2912
150	517	2907
151	520	2903
152	523	2898
153	527	2895
154	530	2890
155	534	2889
156	538	2889
157	541	2884
158	544	2878
159	548	2877
160	551	2874
161	554	2867
162	557	2862
163	560	2856
164	564	2855
165	568	2856
166	571	2849
167	573	2842
168	576	2835
169	579	2831
170	583	2827
171	586	2822
172	589	2818
173	592	2814
174	596	2812
175	599	2807
176	602	2800
177	605	2794
178	608	2789
179	612	2788
180	615	2786
181	618	2780
182	621	2775
183	624	2771
184	628	2767
185	631	2762
186	634	2756
187	636	2750
188	639	2745
189	643	2744
190	646	2737
191	649	2732
192	652	2726
193	655	2721
194	659	2721
195	662	2717
196	665	2710
197	667	2705
198	671	2700
199	674	2696
200	677	2691
201	680	2687
202	683	2684
203	687	2683
204	691	2680
205	693	2674
206	696	2669
207	699	2663
208	702	2657
209	707	2660
210	710	2658
